@relation 's4'

@attribute attrib1 numeric
@attribute attrib2 numeric
@attribute attrib3 numeric
@attribute class {0.000000000000000000e+00,1.000000000000000000e+00}

@data
-4.290700892675261890e+00,7.130800054652201680e+00,7.232455030590869249e+00,0.000000000000000000e+00
2.124547633923203893e+00,7.568752359408303931e-01,9.623069861903534417e+00,1.000000000000000000e+00
-7.502049285293038716e-01,3.012993929678320804e+00,5.649965550600173358e+00,0.000000000000000000e+00
5.151873309392854594e+00,-1.373332944921318854e-01,1.969141900058416494e+00,1.000000000000000000e+00
2.678092203841906382e+00,-1.232592793166050527e+01,1.163851790509895290e+00,1.000000000000000000e+00
-8.983236526521042320e-01,-3.432972574140129574e+00,6.252817980881128612e+00,0.000000000000000000e+00
-6.104589601857450809e+00,-5.401002100003612583e+00,9.139048704597264816e+00,0.000000000000000000e+00
-3.988061978538577357e+00,-8.439999666053278615e-02,8.063783944927264358e+00,0.000000000000000000e+00
-8.965933476295337989e-01,-5.405262031509604270e+00,4.325780311973681513e+00,0.000000000000000000e+00
5.598357518327278015e+00,3.725616705073591106e+00,9.968326230768617791e+00,1.000000000000000000e+00
3.382428707187979278e+00,-6.261604887909465234e+00,4.110561565372666593e+00,1.000000000000000000e+00
2.891696663296535075e+00,5.240014848606643350e-01,2.236989623981784803e+00,1.000000000000000000e+00
-4.933413554689549230e+00,-6.770431451376962784e+00,1.990570862290784060e+00,0.000000000000000000e+00
4.222614770084364366e+00,5.072318460414074082e+00,2.117905764364226062e+00,1.000000000000000000e+00
-6.506812807738816318e+00,-6.808707969884231659e+00,7.588314407933747674e+00,0.000000000000000000e+00
-4.918766948578071840e+00,1.606579256610412232e+00,3.964357131567903814e+00,0.000000000000000000e+00
-1.603036193064580894e+00,1.728749269818335321e+00,4.412917146841715876e+00,0.000000000000000000e+00
-4.036807946353899723e-01,-4.523130065135603672e+00,9.909241406976661892e+00,0.000000000000000000e+00
-2.183922988123115638e-01,-1.587818564583777237e+00,3.989679904532272836e+00,0.000000000000000000e+00
-2.728269462908845533e+00,-5.166396865253685355e+00,3.923874945161602845e+00,0.000000000000000000e+00
-1.580742320927821298e+00,-1.035723689386398583e+01,2.828836980759389608e+00,0.000000000000000000e+00
-7.563911933259768183e-01,-3.453599137133471331e+00,9.826898340824778089e+00,0.000000000000000000e+00
1.488882141188210895e+01,-6.191157757983672738e+00,8.838881289068879710e+00,1.000000000000000000e+00
-3.248085398909395849e+00,-5.019132362147225024e-01,9.593038886939654120e+00,0.000000000000000000e+00
5.041093139749697194e+00,-1.839317536427240274e+00,6.340941824124801229e+00,1.000000000000000000e+00
2.280577733508784455e+00,1.105990305153032038e-01,1.272109153612152266e+00,1.000000000000000000e+00
-7.657498024954195515e+00,-1.990970428378378843e-01,4.124041466303572712e+00,0.000000000000000000e+00
-7.269137935250492788e+00,3.795946026615256486e+00,3.216979769903915543e+00,0.000000000000000000e+00
2.380764880536512695e+00,-4.791395847943283215e+00,8.037863577807682347e+00,1.000000000000000000e+00
4.736701259039083345e-01,1.403445635822871962e+00,6.077072439859110276e+00,1.000000000000000000e+00
5.870602210026940604e+00,5.787097583600561146e-01,8.179272238242964121e+00,1.000000000000000000e+00
7.314927805495303748e-01,-4.506309500715692806e+00,7.597068072899501701e+00,1.000000000000000000e+00
2.992621848933105788e+00,-6.686193994849235267e+00,5.183769912617282039e+00,1.000000000000000000e+00
2.930920826411512081e+00,-2.706731073157745193e+00,6.705590837042307406e+00,1.000000000000000000e+00
-2.179571676093230881e+00,3.209217428320135790e-01,9.511650431969298936e+00,0.000000000000000000e+00
6.374519636580616933e+00,-6.798022873034979818e-02,5.636024737890375391e+00,1.000000000000000000e+00
2.747902498116438608e+00,4.030834282751333930e+00,8.661611437208204478e+00,1.000000000000000000e+00
3.389520207433970977e+00,7.142301596538437103e+00,4.432345958924365448e+00,1.000000000000000000e+00
3.036043144438648200e-01,6.318149968174129327e-01,9.671930068291223037e+00,1.000000000000000000e+00
2.616141709828450068e+00,6.287025650581026248e+00,9.858689527439530309e+00,1.000000000000000000e+00
-4.698834734880739994e+00,4.422728885810943922e+00,1.762556054641133629e+00,0.000000000000000000e+00
1.370456596839758490e+01,-1.016564407927036395e+00,5.635023749912466684e+00,1.000000000000000000e+00
